what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086512469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086514842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427086516797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086519549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086524948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086526917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086529875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086536371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086538761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086544018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086545152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427086547540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086548810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086550223
started,bundle,org.eclipse.mylyn.java.tasks,3.8.3.v20130107-0100,"org.eclipse.mylyn.java.tasks",1427086553042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427086553334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427086554518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086560137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086562086
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1427086565488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086573581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086578558
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427086580132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427086585278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427086586489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427086587928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086591629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086595212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086597139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086599135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086601136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086602953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086604448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086606377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427086612575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086614254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086615286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086617417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086619244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086625960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087994141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427098437238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098453650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098461783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098466853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098467805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098468179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098469806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098470446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098473304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098484365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098486411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098499557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098503182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098505273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098506674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098507854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098509741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098513295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098515308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098525483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098527964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098528993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098532675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098543468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098545002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098545814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098547041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098568422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098569930
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1427098585023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427098585803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427098586193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427098591606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427098594773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427098611314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427098614683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427098616243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098616984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098621107
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427098623369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427098626348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427098629656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427098630966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427098631964
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1427098635508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098638690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098640780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098643820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098645312
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1427098650962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098652538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098652772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1427098655128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098656204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098658966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427098662008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427098665690
error,log,,,"Internal Error",1427098665939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098669621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427098675025
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1427098682638
